uf,cep,cnpj,pais,porte,bairro,numero,ddd_fax,municipio,logradouro,cnae_fiscal,complemento,codigo_porte,razao_social,nome_fantasia,capital_social,ddd_telefone_1,ddd_telefone_2,descricao_porte,codigo_municipio,natureza_juridica,situacao_especial,opcao_pelo_simples,situacao_cadastral,cnae_fiscal_descricao,codigo_municipio_ibge,data_inicio_atividade,data_situacao_especial,data_situacao_cadastral,nome_cidade_no_exterior,codigo_natureza_juridica,motivo_situacao_cadastral,identificador_matriz_filial,qualificacao_do_responsavel,descricao_situacao_cadastral,descricao_tipo_de_logradouro,descricao_motivo_situacao_cadastral,descricao_identificador_matriz_filial,ano,mes
df,70308200,26845283000166,brasil,demais,asa_sul,9,,brasilia,st_scs-b_quadra_9,3512300,bloco_a_sala_1201_parte_5,5.0,equatorial_transmissora_5_spe_s.a.,equatorial,89256950.0,9832172313,,,9701.0,sociedade_anonima_fechada,,,2,transmissao_de_energia_eletrica,5300108.0,2017-01-10,,2017-01-10,,2054,0,1,16,ativa,quadra,sem_motivo,matriz,2017,1
df,70308200,26845702000160,brasil,demais,asa_sul,9,,brasilia,st_scs-b_quadra_9,3512300,bloco_a_sala_1201_parte_7,5.0,equatorial_transmissora_7_spe_s.a.,equatorial,146857120.0,9832172313,,,9701.0,sociedade_anonima_aberta,,,2,transmissao_de_energia_eletrica,5300108.0,2017-01-10,,2017-01-10,,2046,0,1,16,ativa,quadra,sem_motivo,matriz,2017,1
df,70308200,27967244000102,brasil,demais,asa_sul,9,,brasilia,scs_quadra_9,3512300,bloco_a_sala_1201_parte_8,5.0,equatorial_transmissora_8_spe_s.a.,,171170610.0,9832172351,,,9701.0,sociedade_anonima_aberta,,,2,transmissao_de_energia_eletrica,5300108.0,2017-06-14,,2017-06-14,,2046,0,1,16,ativa,quadra,sem_motivo,matriz,2017,6
ex,,47321544000119,estados_unidos,,atlanta,s/n,,,1550_peachtree_srteet_n.w.,6462000,30309,,equifax_inc,equifax_inc,0.0,,,,,empresa_domiciliada_no_exterior,,,2,holdings_de_instituicoes_nao-financeiras,,2022-07-27,,2022-07-27,atlanta,2216,0,1,17,ativa,,sem_motivo,matriz,2022,7
sp,01451001,15385166000140,brasil,demais,jardim_paulistano,1188,,sao_paulo,brig_faria_lima,6462000,andar_6_conj_65_sala_06,5.0,equipav_saneamento_s.a.,,1278892900.0,1138188150,,,7107.0,sociedade_anonima_fechada,,,2,holdings_de_instituicoes_nao-financeiras,3550308.0,2012-03-19,,2012-03-19,,2054,0,1,10,ativa,avenida,sem_motivo,matriz,2012,3
sp,17915899,30017051000197,brasil,demais,marrecas,s/n,,dracena,sao_jose_rodovia_comandante_joao_ribeiro_de_barros,6462000,km_638,5.0,totalenergies_dracena_participacoes_s.a.,,35796800.0,1137070600,,,6389.0,sociedade_anonima_fechada,,,2,holdings_de_instituicoes_nao-financeiras,3514403.0,2018-03-23,,2018-03-23,,2054,0,1,10,ativa,fazenda,sem_motivo,matriz,2018,3
sp,01455000,18247215000177,brasil,demais,jardim_europa,1400,,sao_paulo,hungria,4110700,andar_2_conj_22_parte,5.0,esp_96/13_empreendimentos_imobiliarios_ltda,esp_96/13_empreendimentos_imobiliarios,529472.0,1133773775,,,7107.0,sociedade_empresaria_limitada,,,2,incorporacao_de_empreendimentos_imobiliarios,3550308.0,2013-06-05,,2013-06-05,,2062,0,1,5,ativa,rua,sem_motivo,matriz,2013,6
sp,04533013,20514555000169,brasil,demais,itaim_bibi,841,2121019998,sao_paulo,tabapua,3512300,andar_2_conj_22,5.0,argo_vi_transmissao_de_energia_s.a,esperanza,215600290.0,1138108760,,,7107.0,sociedade_anonima_fechada,,,2,transmissao_de_energia_eletrica,3550308.0,2014-06-27,,2014-06-27,,2054,0,1,10,ativa,rua,sem_motivo,matriz,2014,6
mg,32600836,07004980000140,brasil,demais,morada_do_trevo,sn,3135329339,betim,br-381_fernao_dias,3821100,km:_499;,5.0,essencis_mg_solucoes_ambientais_s/a,,6269694.5,1137481871,,,4133.0,sociedade_anonima_fechada,,,2,tratamento_e_disposicao_de_residuos_nao-perigosos,3106705.0,2004-09-23,,2004-09-23,,2054,0,1,10,ativa,rodovia,sem_motivo,matriz,2004,9
sp,04536010,07802794000156,brasil,demais,jardim_europa,98,1131477101,sao_paulo,campos_bicudo,3511501,andar_4_-_parte_a,5.0,essentia_pchs_s.a,,62557340.0,1123971450,,,7107.0,sociedade_anonima_aberta,,,2,geracao_de_energia_eletrica,3550308.0,2005-12-06,,2005-12-06,,2046,0,1,10,ativa,rua,sem_motivo,matriz,2005,12
pe,55590000,07699082000153,brasil,demais,ipojuca,s/n,8132243358,ipojuca,ilha_de_tatuoca,3011301,complexo_indl_porturio_gov._eraldo_gueiros-_suape,5.0,estaleiro_atlantico_sul_s/a_em_recuperacao_judicial,,2159899000.0,8133117726,,,2443.0,sociedade_anonima_fechada,recuperacao_judicial,,2,construcao_de_embarcacoes_de_grande_porte,2607208.0,2005-11-21,2020-02-07,2005-11-21,,2054,0,1,64,ativa,outros,sem_motivo,matriz,2005,11
mg,30170048,41738810000127,brasil,demais,santo_agostinho,1596,,belo_horizonte,ouro_preto,7739099,andar_13_sala_1302_sala_1303_parte,5.0,estrela_do_norte_geracao_de_energia_spe_s.a.,,163602060.0,1134732613,,,4123.0,sociedade_anonima_fechada,,,2,"aluguel_de_outras_maquinas_e_equipamentos_comerciais_e_industriais_nao_especificados_anteriormente,_sem_operador",3106200.0,2021-04-28,,2021-04-28,,2054,0,1,10,ativa,rua,sem_motivo,matriz,2021,4
mg,38184200,05351887000186,brasil,demais,conjunto_habitacional_boa_vista,5005,8533075411,araxa,jose_ananias_de_aguiar,6436100,sala_f,5.0,"zema_credito,_financiamento_e_investimento_s/a",zema_financeira,102596430.0,3436691025,,,4079.0,sociedade_anonima_fechada,,,2,"sociedades_de_credito,_financiamento_e_investimento_-_financeiras",3104007.0,1977-04-13,,2005-11-03,,2054,0,1,10,ativa,avenida,sem_motivo,matriz,1977,4
sp,05413909,56950951000186,brasil,demais,pinheiros,270,,sao_paulo,henrique_schaumann,6462000,andar_1_e_2_sobreloja,5.0,sf_848_participacoes_societarias_s.a,,40.0,1199999999,,,7107.0,sociedade_anonima_fechada,,,2,holdings_de_instituicoes_nao-financeiras,3550308.0,2024-08-21,,2024-08-21,,2054,0,1,10,ativa,rua,sem_motivo,matriz,2024,8
sp,04547905,25224629000146,brasil,demais,vila_olimpia,1996,,sao_paulo,gomes_de_carvalho,3512300,conj_151_andar_15_sala_p,5.0,etap_empresa_transmissora_agreste_potiguar_s.a.,etap_empresa_transmissora_agreste_potiguar_s.a.,10481000.0,1145712400,,,7107.0,sociedade_anonima_fechada,,,2,transmissao_de_energia_eletrica,3550308.0,2016-07-18,,2016-07-18,,2054,0,1,10,ativa,rua,sem_motivo,matriz,2016,7
sp,04547006,24870961000115,brasil,demais,vila_olimpia,1996,1137593300,sao_paulo,gomes_de_carvalho,3512300,andar_15_conj_151_sala_u,5.0,etb_-_empresa_de_transmissao_baiana_s.a,,100243890.0,1145712400,,,7107.0,sociedade_anonima_fechada,,,2,transmissao_de_energia_eletrica,3550308.0,2016-05-24,,2016-05-24,,2054,0,1,10,ativa,rua,sem_motivo,matriz,2016,5
sp,04547006,25224658000108,brasil,demais,vila_olimpia,1996,1130459502,sao_paulo,gomes_de_carvalho,3512300,conj_151_andar_15_sala_q,5.0,etc_-_empresa_transmissora_capixaba_s.a.,etc_-_empresa_transmissora_capixaba_s.a.,14651000.0,1145712400,,,7107.0,sociedade_anonima_fechada,,,2,transmissao_de_energia_eletrica,3550308.0,2016-07-18,,2016-07-18,,2054,0,1,10,ativa,rua,sem_motivo,matriz,2016,7
sp,04547006,08474754000195,brasil,demais,vila_olimpia,1581,1138824049,sao_paulo,gomes_de_carvalho,6462000,andar_13_conj_1302,5.0,etc._participacoes_s/a,,687152.0,1130468044,,,7107.0,sociedade_anonima_fechada,,,2,holdings_de_instituicoes_nao-financeiras,3550308.0,2006-10-06,,2006-10-06,,2054,0,1,16,ativa,rua,sem_motivo,matriz,2006,10
